,Unnamed: 0,Date,Rented Bike Count,Hour,Temperature(캜),Humidity(%),Wind speed (m/s),Visibility (10m),Seasons,Holiday,Functioning Day
1444,1444,30/01/2018,33,4,-11.1,50,1.2,1986,Winter,No Holiday,Yes
1652,1652,07/02/2018,218,20,-5.8,44,2.1,1994,Winter,No Holiday,Yes
7496,7496,09/10/2018,0,8,11.4,66,0.8,1991,Autumn,Holiday,No
1893,1893,17/02/2018,133,21,-2.3,38,2.3,2000,Winter,Holiday,Yes
3880,3880,11/05/2018,1496,16,19.1,54,3.2,542,Spring,No Holiday,Yes
2406,2406,11/03/2018,63,6,3.4,85,1.5,234,Spring,No Holiday,Yes
5082,5082,30/06/2018,306,18,27.5,79,0.5,1237,Summer,No Holiday,Yes
8553,8553,22/11/2018,883,9,0.2,28,1.9,1932,Autumn,No Holiday,Yes
4663,4663,13/06/2018,657,7,19.4,69,0.3,1277,Summer,No Holiday,Yes
1966,1966,20/02/2018,319,22,0.5,22,2.9,2000,Winter,No Holiday,Yes
3806,3806,08/05/2018,1096,14,22.2,42,1.7,2000,Spring,No Holiday,Yes
6220,6220,17/08/2018,276,4,22.1,54,1.6,2000,Summer,No Holiday,Yes
6370,6370,23/08/2018,551,10,30.2,52,1.8,2000,Summer,No Holiday,Yes
8018,8018,31/10/2018,287,2,6.4,65,0.0,2000,Autumn,No Holiday,Yes
1600,1600,05/02/2018,199,16,-5.4,25,3.4,1985,Winter,No Holiday,Yes
6135,6135,13/08/2018,709,15,34.0,51,1.8,1508,Summer,No Holiday,Yes
4050,4050,18/05/2018,2261,18,17.5,79,1.5,2000,Spring,No Holiday,Yes
4292,4292,28/05/2018,2252,20,23.0,49,2.4,1905,Spring,No Holiday,Yes
2874,2874,30/03/2018,1935,18,17.4,57,3.1,657,Spring,No Holiday,Yes
3795,3795,08/05/2018,194,3,15.6,63,1.7,2000,Spring,No Holiday,Yes
3012,3012,05/04/2018,70,12,7.3,95,2.2,676,Spring,No Holiday,Yes
426,426,18/12/2017,281,18,0.0,88,0.6,277,Winter,No Holiday,Yes
410,410,18/12/2017,38,2,-5.0,65,0.4,990,Winter,No Holiday,Yes
7753,7753,20/10/2018,774,1,10.9,72,0.0,1966,Autumn,No Holiday,Yes
3263,3263,15/04/2018,467,23,8.6,69,2.2,1730,Spring,No Holiday,Yes
4925,4925,24/06/2018,235,5,20.3,87,1.0,251,Summer,No Holiday,Yes
3767,3767,06/05/2018,1016,23,15.9,83,0.6,2000,Spring,No Holiday,Yes
5501,5501,18/07/2018,327,5,23.9,83,0.4,780,Summer,No Holiday,Yes
5793,5793,30/07/2018,866,9,30.5,53,1.6,2000,Summer,No Holiday,Yes
6291,6291,20/08/2018,255,3,26.1,65,0.6,2000,Summer,No Holiday,Yes
210,210,09/12/2017,384,18,2.5,41,1.0,1974,Winter,No Holiday,Yes
2487,2487,14/03/2018,1025,15,21.7,39,3.3,1979,Spring,No Holiday,Yes
5823,5823,31/07/2018,665,15,37.8,34,1.8,1965,Summer,No Holiday,Yes
3375,3375,20/04/2018,1080,15,26.1,27,1.8,581,Spring,No Holiday,Yes
6004,6004,08/08/2018,183,4,28.0,85,1.0,1079,Summer,No Holiday,Yes
3968,3968,15/05/2018,2059,8,18.4,68,1.1,254,Spring,No Holiday,Yes
1049,1049,13/01/2018,277,17,-1.4,68,1.0,761,Winter,No Holiday,Yes
4055,4055,18/05/2018,864,23,13.2,68,1.8,2000,Spring,No Holiday,Yes
7712,7712,18/10/2018,2154,8,8.5,77,0.5,1995,Autumn,No Holiday,Yes
6956,6956,16/09/2018,1073,20,21.1,88,1.7,404,Autumn,No Holiday,Yes
3833,3833,09/05/2018,2034,17,21.3,34,2.7,1967,Spring,No Holiday,Yes
1972,1972,21/02/2018,50,4,-3.8,32,1.1,2000,Winter,No Holiday,Yes
7976,7976,29/10/2018,1888,8,5.1,67,0.3,1981,Autumn,No Holiday,Yes
2099,2099,26/02/2018,356,11,4.6,37,1.6,1309,Winter,No Holiday,Yes
1499,1499,01/02/2018,194,11,-2.6,33,1.5,1830,Winter,No Holiday,Yes
1109,1109,16/01/2018,58,5,1.1,64,0.5,505,Winter,No Holiday,Yes
5030,5030,28/06/2018,1030,14,27.1,72,3.0,1126,Summer,No Holiday,Yes
5440,5440,15/07/2018,1125,16,32.8,52,3.0,1803,Summer,No Holiday,Yes
652,652,28/12/2017,50,4,-5.8,32,1.6,2000,Winter,No Holiday,Yes
3101,3101,09/04/2018,91,5,0.7,96,1.0,206,Spring,No Holiday,Yes
7873,7873,25/10/2018,572,1,10.0,78,0.4,1669,Autumn,No Holiday,Yes
1795,1795,13/02/2018,406,19,2.4,57,3.2,1995,Winter,No Holiday,Yes
1702,1702,09/02/2018,263,22,2.5,66,1.1,759,Winter,No Holiday,Yes
8457,8457,18/11/2018,457,9,3.5,53,1.0,1338,Autumn,No Holiday,Yes
5327,5327,10/07/2018,373,23,24.9,87,0.5,658,Summer,No Holiday,Yes
7336,7336,02/10/2018,0,16,21.7,36,3.2,1929,Autumn,No Holiday,No
1498,1498,01/02/2018,168,10,-5.0,41,0.5,1799,Winter,No Holiday,Yes
7075,7075,21/09/2018,1720,19,20.3,81,1.0,2000,Autumn,No Holiday,Yes
7894,7894,25/10/2018,1316,22,13.6,56,1.0,1611,Autumn,No Holiday,Yes
2178,2178,01/03/2018,317,18,-0.8,40,4.7,1429,Spring,Holiday,Yes
3836,3836,09/05/2018,1979,20,17.3,53,1.9,2000,Spring,No Holiday,Yes
7383,7383,04/10/2018,0,15,25.3,39,1.6,2000,Autumn,No Holiday,No
4691,4691,14/06/2018,735,11,20.5,79,1.7,770,Summer,No Holiday,Yes
7658,7658,16/10/2018,427,2,11.7,70,1.0,1012,Autumn,No Holiday,Yes
705,705,30/12/2017,224,9,0.2,76,1.3,249,Winter,No Holiday,Yes
1872,1872,17/02/2018,79,0,-2.7,41,3.2,1695,Winter,Holiday,Yes
7402,7402,05/10/2018,33,10,15.8,89,1.8,742,Autumn,No Holiday,Yes
3405,3405,21/04/2018,1491,21,17.8,21,1.2,2000,Spring,No Holiday,Yes
6111,6111,12/08/2018,820,15,34.9,46,2.0,2000,Summer,No Holiday,Yes
3290,3290,17/04/2018,237,2,8.4,45,0.9,1987,Spring,No Holiday,Yes
8199,8199,07/11/2018,848,15,15.4,72,1.1,608,Autumn,No Holiday,Yes
4450,4450,04/06/2018,970,10,25.1,40,2.7,1076,Summer,No Holiday,Yes
4078,4078,19/05/2018,1595,22,18.4,34,1.2,2000,Spring,No Holiday,Yes
7244,7244,28/09/2018,0,20,18.0,67,0.7,2000,Autumn,No Holiday,No
5282,5282,09/07/2018,387,2,22.7,63,0.9,2000,Summer,No Holiday,Yes
6459,6459,27/08/2018,22,3,20.3,97,0.4,200,Summer,No Holiday,Yes
565,565,24/12/2017,7,13,3.7,90,0.7,744,Winter,Holiday,Yes
5474,5474,17/07/2018,497,2,25.3,78,1.0,2000,Summer,No Holiday,Yes
3085,3085,08/04/2018,847,13,7.4,27,1.8,2000,Spring,No Holiday,Yes
3428,3428,22/04/2018,12,20,13.3,80,1.8,821,Spring,No Holiday,Yes
640,640,27/12/2017,269,16,-3.2,23,2.7,2000,Winter,No Holiday,Yes
8636,8636,25/11/2018,570,20,5.5,77,0.7,490,Autumn,No Holiday,Yes
4196,4196,24/05/2018,1902,20,20.0,46,2.6,1414,Spring,No Holiday,Yes
3942,3942,14/05/2018,552,6,12.1,89,0.3,252,Spring,No Holiday,Yes
8340,8340,13/11/2018,890,12,12.8,45,1.8,1170,Autumn,No Holiday,Yes
1964,1964,20/02/2018,358,20,1.8,19,3.1,2000,Winter,No Holiday,Yes
6153,6153,14/08/2018,944,9,31.0,56,0.8,1945,Summer,No Holiday,Yes
7268,7268,29/09/2018,1835,20,21.3,46,0.1,2000,Autumn,No Holiday,Yes
325,325,14/12/2017,282,13,-3.8,32,0.9,1827,Winter,No Holiday,Yes
5992,5992,07/08/2018,855,16,35.4,45,2.6,1529,Summer,No Holiday,Yes
2338,2338,08/03/2018,165,10,3.6,88,2.6,681,Spring,No Holiday,Yes
8721,8721,29/11/2018,825,9,1.8,37,0.9,1310,Autumn,No Holiday,Yes
3656,3656,02/05/2018,555,8,17.5,94,0.9,203,Spring,No Holiday,Yes
3567,3567,28/04/2018,1875,15,21.1,25,4.1,1885,Spring,No Holiday,Yes
2237,2237,04/03/2018,15,5,8.8,96,1.2,196,Spring,No Holiday,Yes
6147,6147,14/08/2018,345,3,28.4,73,1.4,1990,Summer,No Holiday,Yes
